,flag,program,value
212,-mpc64,If-else-Structure-Prog,1.064129441239984
213,-ftls-model=local-dynamic,If-else-Structure-Prog,1.1265087352219023
214,-fvisibility=hidden,If-else-Structure-Prog,1.119920970170447
215,-ftree-parallelize-loops=2,If-else-Structure-Prog,1.0245385649902263
216,--dumpdir,If-else-Structure-Prog,0.0
217,-ffloat-store,If-else-Structure-Prog,1.1595719282079209
218,-fcrossjumping,If-else-Structure-Prog,1.1334194186538755
219,-gno-,If-else-Structure-Prog,0.0
220,-frounding-math,If-else-Structure-Prog,1.032873063190452
221,-fsignaling-nans,If-else-Structure-Prog,0.9763118081245878
222,-flive-range-shrinkage,If-else-Structure-Prog,0.0
223,-flra-remat,If-else-Structure-Prog,0.0
224,-fdisable-,If-else-Structure-Prog,0.0
225,-iwithprefixbefore,If-else-Structure-Prog,0.0
226,-mrtd,If-else-Structure-Prog,1.158687667205743
227,-msse4,If-else-Structure-Prog,1.147436481949683
228,-ftree-builtin-call-dce,If-else-Structure-Prog,1.0662261704948188
229,-gcoff,If-else-Structure-Prog,0.0
230,-madx,If-else-Structure-Prog,1.115645194829479
231,-fsection-anchors,If-else-Structure-Prog,0.99232640865315
232,-gdwarf,If-else-Structure-Prog,0.0
233,--no-warnings,If-else-Structure-Prog,1.1091106346291293
234,-funit-at-a-time,If-else-Structure-Prog,1.150202459763563
235,-mlarge-data-threshold=0,If-else-Structure-Prog,1.1475677575749537
236,-mclflushopt,If-else-Structure-Prog,0.0
237,-fdiagnostics-show-option,If-else-Structure-Prog,1.120378734164101
238,-mdump-tune-features,If-else-Structure-Prog,0.0
239,-fconstexpr-depth=3,If-else-Structure-Prog,1.1373335546305623
240,-fkeep-inline-functions,If-else-Structure-Prog,1.126636182650156
241,-mgeneral-regs-only,If-else-Structure-Prog,0.0
242,-fvect-cost-model=dynamic,If-else-Structure-Prog,0.0
243,-ftabstop=0,If-else-Structure-Prog,1.102630218477247
244,-fprofile-generate,If-else-Structure-Prog,1.0058861573566067
245,-fcprop-registers,If-else-Structure-Prog,1.159417497847362
246,-mcall-ms2sysv-xlogues,If-else-Structure-Prog,0.0
247,-fipa-struct-reorg,If-else-Structure-Prog,1.1580304422101642
248,-mavx512bitalg,If-else-Structure-Prog,0.0
249,-fif-conversion2,If-else-Structure-Prog,1.1523396688525054
250,-fstdarg-opt,If-else-Structure-Prog,0.0
251,-pedantic,If-else-Structure-Prog,1.1425446651506586
252,-fdebug-types-section,If-else-Structure-Prog,1.1414188058150754
253,-O1,If-else-Structure-Prog,1.1501164482413948
254,-fsched-stalled-insns-dep=3,If-else-Structure-Prog,1.150058158856763
255,-gsplit-dwarf,If-else-Structure-Prog,1.159817741848992
256,-fmessage-length=2,If-else-Structure-Prog,1.147699063241559
257,-fipa-bit-cp,If-else-Structure-Prog,0.0
258,-fmem-report,If-else-Structure-Prog,1.0339107117514807
259,-fira-algorithm=CB,If-else-Structure-Prog,1.1635605266498157
260,-fcf-protection=branch,If-else-Structure-Prog,0.0
261,-finline-limit=3,If-else-Structure-Prog,0.9765432368766928
262,-fmessage-length=0,If-else-Structure-Prog,1.0026126265117488
263,-finit-real=snan,If-else-Structure-Prog,1.0175919663598672
264,-fdevirtualize-at-ltrans,If-else-Structure-Prog,0.0
265,-fconstexpr-loop-limit=0,If-else-Structure-Prog,0.0
266,-mandroid,If-else-Structure-Prog,0.0
267,-mrtm,If-else-Structure-Prog,0.9909638381709468
268,-freorder-blocks-algorithm=stc,If-else-Structure-Prog,0.0
269,-fwrapv-pointer,If-else-Structure-Prog,0.0
270,-ftls-model=local-exec,If-else-Structure-Prog,1.1174681238909765
271,-ftracer,If-else-Structure-Prog,1.0454363505909898
272,-fsched-stalled-insns-dep=0,If-else-Structure-Prog,1.1539497191008894
273,-fstack-protector,If-else-Structure-Prog,1.1459071492433524
274,-m3dnow,If-else-Structure-Prog,1.2162175222975995
275,-mxop,If-else-Structure-Prog,1.173749645978228
276,-fstack-reuse=all,If-else-Structure-Prog,1.0930205747278918
277,-ftree-forwprop,If-else-Structure-Prog,1.1518324171663563
278,-ffunction-cse,If-else-Structure-Prog,1.1465174432232794
279,-fdwarf2-cfi-asm,If-else-Structure-Prog,1.1281337841923862
280,-fisolate-erroneous-paths-dereference,If-else-Structure-Prog,0.0
281,-msse,If-else-Structure-Prog,1.1448968012267726
282,-fcse-skip-blocks,If-else-Structure-Prog,1.1391952937961956
283,-gstabs,If-else-Structure-Prog,1.1496178349767994
284,-fstrong-eval-order,If-else-Structure-Prog,0.0
285,-mavx512vl,If-else-Structure-Prog,0.0
286,-ftrapping-math,If-else-Structure-Prog,1.1541440743609606
287,-mno-align-stringops,If-else-Structure-Prog,1.103387859313883
288,-mvpclmulqdq,If-else-Structure-Prog,0.0
289,-fPIC,If-else-Structure-Prog,1.1759813366772354
290,-mprefer-avx128,If-else-Structure-Prog,1.0054988958623896
291,-ffinite-math-only,If-else-Structure-Prog,1.1668335727339552
292,-fsched2-use-traces,If-else-Structure-Prog,1.1605957044350836
